Date,Year,Pump sets,Cumulative pump sets energized,Groundwater_Level,Average Rainfall (mm),POPULATION,RURAL_POPULATION,URBAN_POPULATION,GROWTH_RATE_PERCENT
2000-07-31,2000,238094.0218579235,13007617.639344262,14.64,0.0,2459676.0,502757.0,1956918.0,18.59
2000-08-01,2000,238612.22950819676,13008486.213114752,12.76,14.4,2459676.0,502757.0,1956918.0,18.59
2000-08-02,2000,239130.43715846995,13009354.786885248,12.57,0.0,2459676.0,502757.0,1956918.0,18.59
2000-08-03,2000,239648.6448087432,13010223.360655738,12.7,7.8,2459676.0,502757.0,1956918.0,18.59
2000-08-04,2000,240166.8524590164,13011091.93442623,12.73,62.8,2459676.0,502757.0,1956918.0,18.59
2000-08-05,2000,240685.0601092896,13011960.50819672,12.51,3.5,2459676.0,502757.0,1956918.0,18.59
2000-08-06,2000,241203.26775956285,13012829.081967212,12.4,0.0,2459676.0,502757.0,1956918.0,18.59
2000-08-07,2000,241721.47540983607,13013697.655737706,12.96,0.0,2459676.0,502757.0,1956918.0,18.59
2000-08-08,2000,242239.6830601093,13014566.229508195,12.37,24.0,2459676.0,502757.0,1956918.0,18.59
2000-08-09,2000,242757.8907103825,13015434.803278688,12.84,0.0,2459676.0,502757.0,1956918.0,18.59
2000-08-10,2000,243276.0983606557,13016303.37704918,11.86,9.6,2459676.0,502757.0,1956918.0,18.59
2000-08-11,2000,243794.30601092897,13017171.950819671,12.58,4.0,2459676.0,502757.0,1956918.0,18.59
2000-08-12,2000,244312.5136612022,13018040.524590164,12.47,8.0,2459676.0,502757.0,1956918.0,18.59
2000-08-13,2000,244830.72131147544,13018909.098360656,12.66,0.0,2459676.0,502757.0,1956918.0,18.59
2000-08-14,2000,245348.92896174864,13019777.672131147,12.05,2.4,2459676.0,502757.0,1956918.0,18.59
2000-08-15,2000,245867.1366120219,13020646.24590164,12.27,8.4,2459676.0,502757.0,1956918.0,18.59
2000-08-16,2000,246385.3442622951,13021514.819672132,12.68,0.0,2459676.0,502757.0,1956918.0,18.59
2000-08-17,2000,246903.55191256836,13022383.393442623,12.18,0.0,2459676.0,502757.0,1956918.0,18.59
2000-08-18,2000,247421.7595628416,13023251.967213117,12.47,11.4,2459676.0,502757.0,1956918.0,18.59
2000-08-19,2000,247939.9672131148,13024120.540983606,12.26,0.0,2459676.0,502757.0,1956918.0,18.59
2000-08-20,2000,248458.174863388,13024989.114754098,12.11,9.2,2459676.0,502757.0,1956918.0,18.59
2000-08-21,2000,248976.38251366123,13025857.68852459,11.99,40.0,2459676.0,502757.0,1956918.0,18.59
2000-08-22,2000,249494.59016393445,13026726.262295082,12.38,38.1,2459676.0,502757.0,1956918.0,18.59
2000-08-23,2000,250012.79781420768,13027594.836065574,12.37,46.2,2459676.0,502757.0,1956918.0,18.59
2000-08-24,2000,250531.0054644809,13028463.409836063,12.41,30.0,2459676.0,502757.0,1956918.0,18.59
2000-08-25,2000,251049.2131147541,13029331.983606558,11.37,52.0,2459676.0,502757.0,1956918.0,18.59
2000-08-26,2000,251567.42076502732,13030200.55737705,13.25,12.4,2459676.0,502757.0,1956918.0,18.59
2000-08-27,2000,252085.62841530057,13031069.13114754,12.74,38.8,2459676.0,502757.0,1956918.0,18.59
2000-08-28,2000,252603.8360655738,13031937.704918033,12.49,10.0,2459676.0,502757.0,1956918.0,18.59
2000-08-29,2000,253122.04371584704,13032806.278688524,12.64,4.0,2459676.0,502757.0,1956918.0,18.59
2000-08-30,2000,253640.25136612024,13033674.852459015,12.12,0.0,2459676.0,502757.0,1956918.0,18.59
2000-08-31,2000,254158.45901639343,13034543.426229509,12.4,0.0,2459676.0,502757.0,1956918.0,18.59
2000-09-01,2000,254676.6666666667,13035412.0,10.64,0.0,2459676.0,502757.0,1956918.0,18.59
2000-09-02,2000,255194.8743169399,13036280.573770491,10.4,0.0,2459676.0,502757.0,1956918.0,18.59
2000-09-03,2000,255713.08196721316,13037149.147540985,10.51,0.0,2459676.0,502757.0,1956918.0,18.59
2000-09-04,2000,256231.2896174864,13038017.721311476,10.31,0.0,2459676.0,502757.0,1956918.0,18.59
